invoice_id,StockCode,product_name,quantity,transaction_date,unit_price,customer_id,country,total_line_value
536762,22726,ALARM CLOCK BAKELIKE GREEN,4,12/02/10,3.75,16186,United Kingdom,15
536782,21258,VICTORIAN SEWING BOX LARGE,1,12/02/10,12.75,17567,United Kingdom,12.75
536783,84692,BOX OF 24 COCKTAIL PARASOLS,50,12/02/10,0.32,15061,United Kingdom,16
536784,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,240,12/02/10,1.88,15061,United Kingdom,451.2
536785,84879,ASSORTED COLOUR BIRD ORNAMENT,320,12/02/10,1.45,15061,United Kingdom,464
536793,22960,JAM MAKING SET WITH JARS,6,12/02/10,4.25,16203,United Kingdom,25.5
536795,22084,PAPER CHAIN KIT EMPIRE,12,12/02/10,2.95,15640,United Kingdom,35.4
536796,20728,LUNCH BAG CARS BLUE,1,12/02/10,1.65,15574,United Kingdom,1.65
536796,21393,BLUE POLKADOT PUDDING BOWL,2,12/02/10,2.10,15574,United Kingdom,4.2
536796,22659,LUNCH BOX I LOVE LONDON,1,12/02/10,1.95,15574,United Kingdom,1.95
536796,21268,VINTAGE BLUE TINSEL REEL,2,12/02/10,0.42,15574,United Kingdom,0.84
536798,82551,LAUNDRY 15C METAL SIGN,24,12/02/10,1.45,17838,United Kingdom,34.8
536799,22745,POPPY'S PLAYHOUSE BEDROOM,2,12/02/10,2.10,17228,United Kingdom,4.2
536804,21658,GLASS BEURRE DISH,8,12/02/10,3.95,14031,United Kingdom,31.6
536806,82580,BATHROOM METAL SIGN,12,12/02/10,0.55,12971,United Kingdom,6.6
536821,21494,ROTATING LEAVES T-LIGHT HOLDER,3,12/02/10,1.25,17757,United Kingdom,3.75
536821,21080,SET/20 RED RETROSPOT PAPER NAPKINS,3,12/02/10,0.85,17757,United Kingdom,2.55
536833,21352,EUCALYPTUS & PINECONE WREATH,2,12/02/10,6.75,18239,United Kingdom,13.5
536837,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,12/02/10,8.50,14395,United Kingdom,17
536839,21524,DOORMAT SPOTTY HOME SWEET HOME,10,12/02/10,6.75,15093,United Kingdom,67.5
536839,21506,"FANCY FONT BIRTHDAY CARD,",24,12/02/10,0.42,15093,United Kingdom,10.08
536840,22962,JAM JAR WITH PINK LID,12,12/02/10,0.85,12738,Germany,10.2
536840,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,12/02/10,0.55,12738,Germany,13.2
536841,22766,PHOTO FRAME CORNICE,8,12/02/10,2.95,16150,United Kingdom,23.6
536846,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,3,12/02/10,2.95,14573,United Kingdom,8.85
536856,21889,WOODEN BOX OF DOMINOES,12,12/03/10,1.25,13370,United Kingdom,15
536857,21870,I CAN ONLY PLEASE ONE PERSON MUG,6,12/03/10,1.25,16883,United Kingdom,7.5
536863,21586,KINGS CHOICE GIANT TUBE MATCHES,1,12/03/10,2.55,17967,United Kingdom,2.55
536874,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,1,12/03/10,0.85,16891,United Kingdom,0.85
536943,84879,ASSORTED COLOUR BIRD ORNAMENT,8,12/03/10,1.69,17884,United Kingdom,13.52
536943,22736,RIBBON REEL MAKING SNOWMEN,1,12/03/10,1.65,17884,United Kingdom,1.65
536960,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,12/03/10,3.95,16477,United Kingdom,15.8
536972,48138,DOORMAT UNION FLAG,2,12/03/10,7.95,16926,United Kingdom,15.9
536974,15056BL,EDWARDIAN PARASOL BLACK,9,12/03/10,5.95,12682,France,53.55
536975,85227,SET OF 6 3D KIT CARDS FOR KIDS,12,12/03/10,0.85,14911,EIRE,10.2
536980,22697,GREEN REGENCY TEACUP AND SAUCER,48,12/03/10,2.55,17819,United Kingdom,122.4
536983,22914,BLUE COAT RACK PARIS FASHION,3,12/03/10,4.95,12712,Germany,14.85
536984,20668,DISCO BALL CHRISTMAS DECORATION,24,12/03/10,0.12,17841,United Kingdom,2.88
536984,22041,"RECORD FRAME 7"" SINGLE SIZE",6,12/03/10,2.55,17841,United Kingdom,15.3
536984,21446,12 RED ROSE PEG PLACE SETTINGS,1,12/03/10,1.25,17841,United Kingdom,1.25
536984,21042,RED RETROSPOT APRON,1,12/03/10,5.95,17841,United Kingdom,5.95
536987,22961,JAM MAKING SET PRINTED,1,12/03/10,1.45,17198,United Kingdom,1.45
536988,85049C,ROMANTIC PINKS RIBBONS,2,12/03/10,1.25,17238,United Kingdom,2.5
537030,22587,FELTCRAFT HAIRBAND RED AND BLUE,12,12/03/10,0.85,16455,United Kingdom,10.2
537030,22586,FELTCRAFT HAIRBAND PINK AND BLUE,12,12/03/10,0.85,16455,United Kingdom,10.2
537034,21224,SET/4 SKULL BADGES,10,12/03/10,1.25,13081,United Kingdom,12.5
537034,21877,HOME SWEET HOME MUG,12,12/03/10,1.25,13081,United Kingdom,15
537036,20699,MOUSEY LONG LEGS SOFT TOY,1,12/03/10,2.55,15545,United Kingdom,2.55
537042,84580,MOUSE TOY WITH PINK T-SHIRT,1,12/05/10,3.75,13838,United Kingdom,3.75
537047,22694,WICKER STAR,2,12/05/10,2.10,13069,United Kingdom,4.2
537049,22086,PAPER CHAIN KIT 50'S CHRISTMAS,6,12/05/10,2.95,16241,United Kingdom,17.7
537050,21452,TOADSTOOL MONEY BOX,2,12/05/10,2.95,14800,United Kingdom,5.9
537057,22379,RECYCLING BAG RETROSPOT,2,12/05/10,2.10,15351,United Kingdom,4.2
537057,22256,FELT FARM ANIMAL CHICKEN,3,12/05/10,1.25,15351,United Kingdom,3.75
537059,22834,HAND WARMER BABUSHKA DESIGN,3,12/05/10,2.10,14813,United Kingdom,6.3
537065,21539,RED RETROSPOT BUTTER DISH,3,12/05/10,4.95,12567,France,14.85
537086,22751,FELTCRAFT PRINCESS OLIVIA DOLL,12,12/05/10,3.75,15332,Lithuania,45
537111,22382,LUNCH BAG SPACEBOY DESIGN,5,12/05/10,1.65,14810,United Kingdom,8.25
537128,22573,STAR WOODEN CHRISTMAS DECORATION,20,12/05/10,0.85,12841,United Kingdom,17
537131,22766,PHOTO FRAME CORNICE,4,12/05/10,2.95,15716,United Kingdom,11.8
537131,22470,HEART OF WICKER LARGE,5,12/05/10,2.95,15716,United Kingdom,14.75
537133,22480,RED TEA TOWEL CLASSIC DESIGN,1,12/05/10,1.25,18156,United Kingdom,1.25
537135,22585,PACK OF 6 BIRDY GIFT TAGS,2,12/05/10,1.25,17059,United Kingdom,2.5
537135,85049G,CHOCOLATE BOX RIBBONS,1,12/05/10,1.25,17059,United Kingdom,1.25
537135,21803,CHRISTMAS TREE STAR DECORATION,1,12/05/10,0.42,17059,United Kingdom,0.42
537136,21682,LARGE MEDINA STAMPED METAL BOWL,4,12/05/10,4.95,12748,United Kingdom,19.8
537137,20723,STRAWBERRY CHARLOTTE BAG,4,12/05/10,0.85,16327,United Kingdom,3.4
537140,22633,HAND WARMER UNION JACK,1,12/05/10,2.10,12748,United Kingdom,2.1
537144,20764,ABSTRACT CIRCLES SKETCHBOOK,1,12/05/10,3.75,15880,United Kingdom,3.75
537144,72799F,IVORY PILLAR CANDLE GOLD FLOCK,2,12/05/10,2.95,15880,United Kingdom,5.9
537153,22867,HAND WARMER BIRD DESIGN,9,12/05/10,2.10,16718,United Kingdom,18.9
537156,85150,LADIES & GENTLEMEN METAL SIGN,2,12/05/10,2.55,17858,United Kingdom,5.1
537156,21670,BLUE SPOT CERAMIC DRAWER KNOB,6,12/05/10,1.25,17858,United Kingdom,7.5
537156,21164,HOME SWEET HOME METAL SIGN,2,12/05/10,2.95,17858,United Kingdom,5.9
537159,35598B,BLACK CHRISTMAS TREE 60CM,1,12/05/10,2.95,14527,United Kingdom,2.95
537159,21258,VICTORIAN SEWING BOX LARGE,3,12/05/10,12.75,14527,United Kingdom,38.25
537160,22557,PLASTERS IN TIN VINTAGE PAISLEY,2,12/05/10,1.65,14161,United Kingdom,3.3
537160,22865,HAND WARMER OWL DESIGN,1,12/05/10,2.10,14161,United Kingdom,2.1
537192,21623,VINTAGE UNION JACK MEMOBOARD,1,12/05/10,9.95,16402,United Kingdom,9.95
537192,22859,EASTER TIN BUNNY BOUQUET,2,12/05/10,1.65,16402,United Kingdom,3.3
537192,22808,SET OF 6 T-LIGHTS EASTER CHICKS,1,12/05/10,2.95,16402,United Kingdom,2.95
537193,21899,"KEY FOB , GARAGE DESIGN",12,12/05/10,0.65,15023,United Kingdom,7.8
537195,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6,12/05/10,1.25,15311,United Kingdom,7.5
537196,21754,HOME BUILDING BLOCK WORD,2,12/05/10,5.95,15426,United Kingdom,11.9
537196,21181,PLEASE ONE PERSON METAL SIGN,2,12/05/10,2.10,15426,United Kingdom,4.2
537196,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,1,12/05/10,3.75,15426,United Kingdom,3.75
537197,22847,BREAD BIN DINER STYLE IVORY,1,12/05/10,16.95,12647,Germany,16.95
537200,22188,BLACK HEART CARD HOLDER,3,12/05/10,3.95,15867,United Kingdom,11.85
537201,21817,GLITTER CHRISTMAS TREE,12,12/05/10,0.85,12472,Germany,10.2
537201,22080,RIBBON REEL POLKADOTS,10,12/05/10,1.65,12472,Germany,16.5
537202,21695,SMALL SILVER FLOWER CANDLE POT,6,12/05/10,2.95,14506,United Kingdom,17.7
537204,22155,STAR DECORATION RUSTIC,10,12/05/10,0.42,15555,United Kingdom,4.2
537204,21803,CHRISTMAS TREE STAR DECORATION,10,12/05/10,0.42,15555,United Kingdom,4.2
537205,21035,SET/2 RED RETROSPOT TEA TOWELS,6,12/05/10,2.95,13034,United Kingdom,17.7
537208,22531,MAGIC DRAWING SLATE CIRCUS PARADE,3,12/05/10,0.42,15889,United Kingdom,1.26
537209,37461,FUNKY MONKEY MUG,1,12/05/10,1.25,14606,United Kingdom,1.25
537209,20749,ASSORTED COLOUR MINI CASES,2,12/05/10,7.95,14606,United Kingdom,15.9
537218,85016,SET OF 6 VINTAGE NOTELETS KIT,6,12/05/10,2.55,12763,Japan,15.3
537218,22030,SWALLOWS GREETING CARD,12,12/05/10,0.42,12763,Japan,5.04
537219,22111,SCOTTIE DOG HOT WATER BOTTLE,1,12/05/10,4.95,14081,United Kingdom,4.95
537219,22818,CARD CHRISTMAS VILLAGE,36,12/05/10,0.42,14081,United Kingdom,15.12
537221,22750,FELTCRAFT PRINCESS LOLA DOLL,1,12/05/10,3.75,17965,United Kingdom,3.75
537224,21187,WHITE BELL HONEYCOMB PAPER GARLAND,11,12/05/10,1.65,13174,United Kingdom,18.15
537224,84531B,BLUE KNITTED EGG COSY,1,12/05/10,1.95,13174,United Kingdom,1.95
537224,22113,GREY HEART HOT WATER BOTTLE,1,12/05/10,3.75,13174,United Kingdom,3.75
537224,21910,WAY OUT METAL SIGN,1,12/05/10,1.65,13174,United Kingdom,1.65
537224,84846A,SCENTED CANDLE IN DIGITALIS TIN,4,12/05/10,2.10,13174,United Kingdom,8.4
537224,22690,DOORMAT HOME SWEET HOME BLUE,1,12/05/10,7.95,13174,United Kingdom,7.95
537224,22151,PLACE SETTING WHITE HEART,24,12/05/10,0.42,13174,United Kingdom,10.08
537238,22587,FELTCRAFT HAIRBAND RED AND BLUE,5,12/06/10,0.85,16161,United Kingdom,4.25
537241,22866,HAND WARMER SCOTTY DOG DESIGN,12,12/06/10,2.10,14293,United Kingdom,25.2
537242,22632,HAND WARMER RED RETROSPOT,12,12/06/10,2.10,14748,United Kingdom,25.2
537242,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,12,12/06/10,1.45,14748,United Kingdom,17.4
537246,20726,LUNCH BAG WOODLAND,10,12/06/10,1.65,12808,Portugal,16.5
537246,20728,LUNCH BAG CARS BLUE,10,12/06/10,1.65,12808,Portugal,16.5
537256,85049E,SCANDINAVIAN REDS RIBBONS,12,12/06/10,1.25,16210,United Kingdom,15
537262,22691,DOORMAT WELCOME SUNRISE,1,12/06/10,7.95,15039,United Kingdom,7.95
537301,22449,SILK PURSE BABUSHKA PINK,1,12/06/10,3.35,15860,United Kingdom,3.35
537332,22424,ENAMEL BREAD BIN CREAM,3,12/06/10,12.75,14344,United Kingdom,38.25
537332,22457,NATURAL SLATE HEART CHALKBOARD,12,12/06/10,2.95,14344,United Kingdom,35.4
537359,22575,METAL MERRY CHRISTMAS WREATH,16,12/06/10,1.95,14825,United Kingdom,31.2
537359,22835,HOT WATER BOTTLE I AM SO POORLY,4,12/06/10,4.65,14825,United Kingdom,18.6
537365,22381,TOY TIDY PINK POLKADOT,10,12/06/10,2.10,15078,United Kingdom,21
537367,82582,AREA PATROLLED METAL SIGN,12,12/06/10,2.10,15078,United Kingdom,25.2
537370,22558,CLOTHES PEGS RETROSPOT PACK 24,1,12/06/10,1.49,13155,United Kingdom,1.49
537370,22318,FIVE HEART HANGING DECORATION,1,12/06/10,2.95,13155,United Kingdom,2.95
537378,22594,CHRISTMAS GINGHAM TREE,36,12/06/10,0.85,14911,EIRE,30.6
537378,22082,RIBBON REEL STRIPES DESIGN,20,12/06/10,1.65,14911,EIRE,33
537382,22335,HEART DECORATION PAINTED ZINC,2,12/06/10,0.65,16710,United Kingdom,1.3
537382,22632,HAND WARMER RED RETROSPOT,4,12/06/10,2.10,16710,United Kingdom,8.4
537386,22119,PEACE WOODEN BLOCK LETTERS,3,12/06/10,6.95,14911,EIRE,20.85
537389,84916,HAND TOWEL PALE BLUE W FLOWERS,1,12/06/10,5.95,17757,United Kingdom,5.95
537392,21485,RETROSPOT HEART HOT WATER BOTTLE,1,12/06/10,4.95,17068,United Kingdom,4.95
537393,22633,HAND WARMER UNION JACK,48,12/06/10,2.10,13089,United Kingdom,100.8
537395,84849B,FAIRY SOAP SOAP HOLDER,2,12/06/10,1.69,15356,United Kingdom,3.38
537403,21864,UNION JACK FLAG PASSPORT COVER,1,12/06/10,2.10,17191,United Kingdom,2.1
537404,22848,BREAD BIN DINER STYLE PINK,1,12/06/10,16.95,17191,United Kingdom,16.95
537405,21484,CHICK GREY HOT WATER BOTTLE,1,12/06/10,3.45,17841,United Kingdom,3.45
537407,22926,IVORY GIANT GARDEN THERMOMETER,4,12/06/10,5.95,15502,United Kingdom,23.8
537421,22752,SET 7 BABUSHKA NESTING BOXES,5,12/06/10,8.50,17218,United Kingdom,42.5
537421,22535,MAGIC DRAWING SLATE BUNNIES,2,12/06/10,0.42,17218,United Kingdom,0.84
537421,22186,RED STAR CARD HOLDER,2,12/06/10,2.95,17218,United Kingdom,5.9
537446,21754,HOME BUILDING BLOCK WORD,3,12/07/10,5.95,18055,United Kingdom,17.85
537447,37450,CERAMIC CAKE BOWL + HANGING CAKES,6,12/07/10,2.95,13963,United Kingdom,17.7
537463,22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,12,12/07/10,0.85,12681,France,10.2
537464,22274,FELTCRAFT DOLL EMILY,6,12/07/10,2.95,14907,United Kingdom,17.7
537464,22568,FELTCRAFT CUSHION OWL,4,12/07/10,3.75,14907,United Kingdom,15
537472,21801,CHRISTMAS TREE DECORATION WITH BELL,36,12/07/10,0.42,12971,United Kingdom,15.12
537538,22633,HAND WARMER UNION JACK,24,12/07/10,2.10,15353,United Kingdom,50.4
537567,21328,BALLOONS WRITING SET,1,12/07/10,1.65,18119,United Kingdom,1.65
537594,22202,MILK PAN PINK POLKADOT,4,12/07/10,3.75,12647,Germany,15
537605,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,4,12/07/10,1.45,16221,United Kingdom,5.8
537605,21733,RED HANGING HEART T-LIGHT HOLDER,8,12/07/10,2.95,16221,United Kingdom,23.6
537620,22791,T-LIGHT GLASS FLUTED ANTIQUE,12,12/07/10,1.25,13880,United Kingdom,15
537624,22101,MIRROR MOSAIC VOTIVE HOLDER,2,12/07/10,2.10,12748,United Kingdom,4.2
537625,22112,CHOCOLATE HOT WATER BOTTLE,3,12/07/10,4.95,15180,United Kingdom,14.85
537628,72741,GRAND CHOCOLATECANDLE,9,12/07/10,1.45,16293,United Kingdom,13.05
537646,22919,HERB MARKER MINT,2,12/07/10,0.65,17591,United Kingdom,1.3
537646,82600,NO SINGING METAL SIGN,1,12/07/10,2.10,17591,United Kingdom,2.1
537648,20723,STRAWBERRY CHARLOTTE BAG,10,12/07/10,0.85,12839,United Kingdom,8.5
537657,22188,BLACK HEART CARD HOLDER,972,12/07/10,2.31,18102,United Kingdom,2245.32
537669,72741,GRAND CHOCOLATECANDLE,9,12/08/10,1.45,16863,United Kingdom,13.05
537692,22900,SET 2 TEA TOWELS I LOVE LONDON,4,12/08/10,2.95,14796,United Kingdom,11.8
537754,22699,ROSES REGENCY TEACUP AND SAUCER,4,12/08/10,2.95,16081,United Kingdom,11.8
537754,22070,SMALL RED RETROSPOT MUG IN BOX,1,12/08/10,3.75,16081,United Kingdom,3.75
537762,22086,PAPER CHAIN KIT 50'S CHRISTMAS,40,12/08/10,2.55,16558,United Kingdom,102
537769,22156,HEART DECORATION WITH PEARLS,2,12/08/10,0.85,15021,United Kingdom,1.7
537769,22766,PHOTO FRAME CORNICE,1,12/08/10,2.95,15021,United Kingdom,2.95
537772,21479,WHITE SKULL HOT WATER BOTTLE,1,12/08/10,3.75,18043,United Kingdom,3.75
537773,22113,GREY HEART HOT WATER BOTTLE,1,12/08/10,3.75,16016,United Kingdom,3.75
537773,22469,HEART OF WICKER SMALL,4,12/08/10,1.65,16016,United Kingdom,6.6
537789,21523,DOORMAT FANCY FONT HOME SWEET HOME,20,12/08/10,6.75,14051,United Kingdom,135
537792,84993B,75 BLACK PETIT FOUR CASES,1,12/08/10,0.42,16385,United Kingdom,0.42
537792,22084,PAPER CHAIN KIT EMPIRE,6,12/08/10,2.95,16385,United Kingdom,17.7
537794,82482,WOODEN PICTURE FRAME WHITE FINISH,2,12/08/10,2.55,16713,United Kingdom,5.1
537800,72709,IVORY SCULPTED RND CANDLE,9,12/08/10,0.85,12748,United Kingdom,7.65
537802,85150,LADIES & GENTLEMEN METAL SIGN,6,12/08/10,2.55,13455,United Kingdom,15.3
537818,21481,FAWN BLUE HOT WATER BOTTLE,6,12/08/10,2.95,12766,Portugal,17.7
537828,21733,RED HANGING HEART T-LIGHT HOLDER,6,12/08/10,2.95,15680,United Kingdom,17.7
537852,21232,STRAWBERRY CERAMIC TRINKET BOX,1,12/08/10,1.25,17340,United Kingdom,1.25
537852,22398,MAGNETS PACK OF 4 SWALLOWS,12,12/08/10,1.25,17340,United Kingdom,15
537852,22419,LIPSTICK PEN RED,50,12/08/10,0.42,17340,United Kingdom,21
537859,17091J,VANILLA INCENSE IN TIN,6,12/08/10,1.25,14030,United Kingdom,7.5
537868,22494,EMERGENCY FIRST AID TIN,24,12/08/10,1.25,12433,Norway,30
537889,21485,RETROSPOT HEART HOT WATER BOTTLE,9,12/09/10,4.95,13319,United Kingdom,44.55
537895,22188,BLACK HEART CARD HOLDER,36,12/09/10,3.39,14299,United Kingdom,122.04
537955,21472,LADYBIRD + BEE RAFFIA FOOD COVER,1,12/09/10,3.75,16782,United Kingdom,3.75
537955,84580,MOUSE TOY WITH PINK T-SHIRT,2,12/09/10,3.75,16782,United Kingdom,7.5
538002,21169,YOU'RE CONFUSING ME METAL SIGN,12,12/09/10,1.69,14932,Channel Islands,20.28
538007,22807,SET OF 6 T-LIGHTS TOADSTOOLS,6,12/09/10,2.95,14355,United Kingdom,17.7
538008,22704,WRAP RED APPLES,25,12/09/10,0.42,12683,France,10.5
538009,22966,GINGERBREAD MAN COOKIE CUTTER,12,12/09/10,1.25,14911,EIRE,15
538012,22470,HEART OF WICKER LARGE,1,12/09/10,2.95,14527,United Kingdom,2.95
538014,22457,NATURAL SLATE HEART CHALKBOARD,12,12/09/10,2.95,14440,United Kingdom,35.4
538014,72807A,SET/3 ROSE CANDLE IN JEWELLED BOX,12,12/09/10,4.25,14440,United Kingdom,51
538040,22916,HERB MARKER THYME,12,12/09/10,0.65,16520,United Kingdom,7.8
538048,84360,TABLE LAMP WHITE SHADE WOOD BASE,36,12/09/10,4.65,15945,United Kingdom,167.4
538051,79000,MOROCCAN TEA GLASS,12,12/09/10,0.85,18041,United Kingdom,10.2
538053,82483,WOOD 2 DRAWER CABINET WHITE FINISH,16,12/09/10,4.95,15856,United Kingdom,79.2
538064,21823,PAINTED METAL HEART WITH HOLLY BELL,2,12/09/10,1.45,15271,United Kingdom,2.9
538077,22030,SWALLOWS GREETING CARD,36,12/09/10,0.42,14667,United Kingdom,15.12
538079,22671,FRENCH LAUNDRY SIGN BLUE METAL,12,12/09/10,1.65,17671,United Kingdom,19.8
538086,22736,RIBBON REEL MAKING SNOWMEN,4,12/09/10,1.65,12872,United Kingdom,6.6
538095,35958,FOLKART ZINC STAR CHRISTMAS DEC,2,12/09/10,0.85,17097,Spain,1.7
538095,22796,PHOTO FRAME 3 CLASSIC HANGING,2,12/09/10,9.95,17097,Spain,19.9
538095,21114,LAVENDER SCENTED FABRIC HEART,5,12/09/10,1.25,17097,Spain,6.25
538108,22581,WOOD STOCKING CHRISTMAS SCANDISPOT,12,12/09/10,0.85,17456,United Kingdom,10.2
538116,22198,LARGE POPCORN HOLDER,12,12/09/10,1.65,13327,United Kingdom,19.8
538155,21166,COOK WITH WINE METAL SIGN,1,12/09/10,1.95,16907,United Kingdom,1.95
538157,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,12/09/10,2.95,17576,United Kingdom,17.7
538166,22837,HOT WATER BOTTLE BABUSHKA,1,12/09/10,4.65,17965,United Kingdom,4.65
538166,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/09/10,2.95,17965,United Kingdom,8.85
538167,82483,WOOD 2 DRAWER CABINET WHITE FINISH,1,12/09/10,5.95,14713,United Kingdom,5.95
538167,22086,PAPER CHAIN KIT 50'S CHRISTMAS,40,12/09/10,2.55,14713,United Kingdom,102
538170,22196,SMALL HEART MEASURING SPOONS,5,12/09/10,0.85,13969,United Kingdom,4.25
538171,21879,HEARTS GIFT TAPE,5,12/09/10,0.65,17530,United Kingdom,3.25
538171,21327,SKULLS WRITING SET,2,12/09/10,1.65,17530,United Kingdom,3.3
538174,22808,SET OF 6 T-LIGHTS EASTER CHICKS,18,12/10/10,2.95,12471,Germany,53.1
538174,22908,PACK OF 20 NAPKINS RED APPLES,24,12/10/10,0.85,12471,Germany,20.4
538202,22153,ANGEL DECORATION STARS ON DRESS,48,12/10/10,0.42,14667,United Kingdom,20.16
